idx_all,idx,english,french,ALL VOTEINTENTION,ALL CRITICISM,ALL SUPPORT,MACRON VOTEINTENTION,LEPEN VOTEINTENTION,MELENCHON VOTEINTENTION,MACRON CRITICISM,LEPEN CRITICISM,MELENCHON CRITICISM,MACRON  SUPPORT,LEPEN SUPPORT,MELENCHON SUPPORT
3413836,0,"Me, MLP in first, Mélenchon in second and Macron in third. In my polling station, MLP comes in first. Nice neighbors in the neighborhood.","Moi MLP en première, Mélenchon en 2 ème et Macron en 3 ème. Dans mon bureau de vote c'est MLP qui arrive en 1er. Sympa les voisins du quartier. ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3486702,1,Mélenchon is a loser he yells he barks every 5 years he has fun in meetings every 5 years he loses and every 5 years he cries this is called fatality Mélenchon no build of head of state,Mélenchon est un looser il hurle il aboie tous les 5 ans il s'éclate en meeting tous les 5 ans il perd et tous les 5 ans il pleure cela s'appelle la fatalité  Mélenchon aucune carrure de chef d'État,None,Mélenchon,None,NO,NO,NO,NO,NO,YES,NO,NO,NO
4559452,2,"If your character had been able to create a real dynamic like your guru (Mitrand) did, we wouldn't be here. We'll shut our mouths and grit our teeth for 5 years.",Si votre caracteriel avait su créer une vraie dynamique telle que sou gourou l’avait faite (Mitrand) on n’en serait pas là.  On ferme notre claquemerde et on va serrer les dents pendant 5 ans.,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4842303,3,"An anti-Zemmour African, how SURPRISED I am","Un Africains anti-Zemmour, comme je suis SURPRIS",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
5537959,4,Macron is self-sufficient in harming himself; he doesn't know how to express himself without lying or being insulting. Everything but Macron,"macron se suffit à lui même pour se nuire, il ne sait pas s'exprimer sans mentir, sans être insultant. ToutsaufMacron",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
3357643,5,"Lie! France represents nothing in the issue of global warming! Grand max 0.5% of emissions, or 0.5cl per liter when transposed to a bottle of water! will not be president of China or the USA!","Mensonge ! La France ne représente rien dans la problématique du réchauffement climatique ! Grand max 0,5% des émissions, soit 0,5cl par litre en transposant sur une bouteille d’eau !  ne sera pas président de la Chine ou des USA!",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4427195,6,Abstaining means voting for Macron. Take a real position. One or the other.,S abstenir en vient à voter Macron. Prenez une vraie position .l un ou l autre,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
533052,7,"Soon the goodbyes, the walking lie.","Bientôt les adieux, le mensonge ambulant.",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4068010,8,"For those who still think that belonging to the Greens is enough to be an environmentalist, Mélenchon once again has the most solid program.",Pour ceux qui pensent encore qu'il suffit d'appartenir à EELV pour être écologiste. Mélenchon a là encore le programme le plus solide.,None,None,Mélenchon,NO,NO,NO,NO,NO,NO,NO,NO,YES
812627,9,It would be so funny if JLM were to beat MLP! All the speeches this evening from politicians and journalists would be thrown in the trash!,Ce serait trop drôle si JLM passait devant MLP ! Tous les discours de ce soir des politiques et des journalistes seraient à mettre à la poubelle !,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2547820,10,The BDE is officially reappointed Macron,Le BDE est officiellement reconduit   Macron,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2788860,11,The little scamps of contempt for the toothless... they put up with a hairy Macron snorting a line before dying under the imminent chaos,Les greluches du mépris des sans-dents... elles s'accommodent tant et tant d'un Macron velu & sniffant une ligne avant de crever sous le chaos imminent,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2742547,12,"The pro-Zemmour people are anti-immigration but in their morals they are very left-wing, it's the same for a lot of far-right supporters in France.",Les Pro-Zemmour sont anti immigration mais dans les mœurs il sont tres a gauche c’est pareil pour énormément de partisans d’extrême droite en France,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
5345832,13,"So a minister, in full office, comes to shed light in a totally partisan way, under false guise of defending democracy, on attacks against the state? False, the attacks target candidate Macron, not the state... manipulation by Montchagrin McKinseyMacronGate","donc une ministre, en plein exercice vient éclairer de façon totalement partisane, sous de faux airs de défense de la démocratie, des attaques envers l'état? Faux, les attaques visent le candidat Macron, pas l'état...manipulation la Montchagrin McKinseyMacronGate",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
2920542,14,"MLP is a useless, harmful vote -","MLP c'est un vote inutile, nuisible -",None,Le Pen,None,NO,NO,NO,NO,YES,NO,NO,NO,NO
5710497,15,"hunted down the Nonvax better than the scum. At the same time, it’s Macron’s policy",traquait mieux les Nonvax que la racaille. EnMemeTemps c’est la politique de Macron,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
26748,16,"""Mrs. Le Pen, I did not interrupt you.""","""Madame Lepen je ne vous ai pas interrompue"" ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3063062,17,"Macron Melenchon in the second round, who are you voting for, Ismail?",Macron melenchon au 2ème tour tu votes pour qui ismaïl?,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
1164033,18,So I have to put up with Macron's policies? LOL No,Donc je dois subir la politique de Macron ? MDRRRR Non,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
2894111,19,Macron's car route suggests that the driver also took coke.,L’itinéraire de Macron en bagnole suggère que le chauffeur aussi a pris de la coke.,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
2606911,20,"The debate wasn't up to scratch, but it must be said that Macron didn't miss you. A lack of mastery of certain issues on your part. In economics, it's a disaster. In short, the only thing Marine can lead is RN.",Le débat n'a pas été au niveau mais il faut dire  que Macron t'as pas loupé. Un manque de maîtrise de certains dossiers de ta part En économie c'est la cata bref la seule chose que Marine peut diriger c'est RN,None,Le Pen,None,NO,NO,NO,NO,YES,NO,NO,NO,NO
2520276,21,"Cheating in the Epads they took the electoral cards to make Macron vote 95% of the French do not want him and yet he is in the second round, a lot of cheating","La triche dans les epad ils ont pris les cartes electorales pour faire voter Macron  95% des francais ne le veulent pas et pourtant il est au deuxieme tour, énormément de triche ",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
4811183,22,Do you prefer Macron and his mafia in power who are ruining France or the far right perhaps? Shut up a bit.,Tu préfères le macron et sa mafia au pouvoir qui sont en train de ruiner la france ou l’extrême-droite peut etre ? Fermez la un peu,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
2824027,23,Delafosse's comments leave me particularly skeptical...,Les propos de Delafosse me laissent particulièrement sceptique…,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3547943,24,"Don't be fooled, they are trying to create fear around MARINE by talking about racism and hatred, which is very serious because it is the opposite of what she defends, find out for yourself. The danger is Macron who has been destroying our social achievements for 5 years.","Ne vous faites pas avoir, ils essayent de créer la peur autour de MARINE en parlant de racisme et de haine ce qui est très grave car c’est l’opposé de ce qu’elle défend, renseignez-vous par vous-même même. Le danger c’est Macron qui détruit nos acquis sociaux depuis 5 ans.",None,Macron,LePen,NO,NO,NO,YES,NO,NO,NO,NO,NO
1122582,25,"Didier, you're really pathetic! But hey, at 8:02 p.m. you'll be licking Macron's slippers!",Didier tu fais vraiment pitié !mais bon à 20h02 tu lécheras les babouches de Macron !,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
5162320,26,There is no campaign Macron is the real PS candidate I will vote PS against the FN if necessary not Macron For Macron I will never vote MacronAssassin MacronGet out 580 tweets Presidentielle2022 The PS is 50% of the victories in the Regionals What is the disaster?,Y a pas de campagne Macron est le vrai candidat du PS Je voterai PS face au FN si il le faut pas Macron Pour Macron je voterai jamais MacronAssassin MacronDegage 580 tweets Presidentielle2022 Le PS c'est 50% des victoires aux Regionales C'est quoi la catastrophe?,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
2687412,27,"Did you know? The Yellow Vests who were arrested had their civil rights (right to vote) revoked for 5 years, as the Macron law has stipulated for a year and a half... How convenient. Macron, the anti-democratic thug","Le saviez vous ? Les Gilets Jaunes qui ont été arrêtés se sont vus retirer leurs droits civiques (droit de vote) pendant 5 ans, comme la loi Macron le stipule depuis 1 an et demi.... Comme c'est commode. Macron voyou anti démocrate ",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
1277363,28,She is a victim of the useful vote and has shown some courage. Why not?,Elle est victime du vote utile et à eu un certain courage. Pourquoi pas.,None,None,LePen,NO,NO,NO,NO,NO,NO,NO,NO,NO
4245186,29,"When fighting the ""far right"" is more important than saving our country. For France to Remain France. Macron Out of the First Round. I'm Voting for Zemmour on April 10th.","Quand combattre"" l’extrême droite"" est plus important que sauver notre pays PourQueLaFranceResteLaFrance  MacronDehorsDesLePremierTour  JeVoteZemmourLe10avril ",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
3769560,30,We will win with JLM,On va gagner avec JLM,Mélenchon,None,Mélenchon,NO,NO,YES,NO,NO,NO,NO,NO,YES
4587987,31,"Wasn't her husband Bernard d'Ormale an advisor to Papa Le Pen? Jany Le Pen's girlfriend, BB, met her husband at a meal at her friend's house. So, she shuts up, collaborator.","Son mari Bernard d'Ormale n'était-il pas conseiller de papa le pen ? BB copine de Jany le pen, c'est lors d'un repas chez cette copine qu'elle rencontre son mari. Alors, la ferme collabo.",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3736960,32,We didn't hear you when today was on repeat for an hour on macron presidential election 2022 macron Macron Takes Us For Idiots macron out of the first round,On ne t’a pas entendu quand  aujourd’hui est resté 1h en boucle sur macron electionpresidentielle2022 macron MacronNousPrendPourDesCons macrondehorsdèslepremiertour,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
1640896,33,"We have to stop making fun of us, there were 3 candidates, the rest was just for show and everyone knows it, then I voted MLP because E.M screwed us all over and is going to do it again, and I don't like JLM's positions on Nuclear, massive aid 1/2","Faut arrêter de ce foutre de notre gueule y avait 3 candidats, le reste c’était pour faire jolie et tout le monde le sait, ensuite j’ai voter MLP car E.M nous a tous entuber et va le refaire, et j’aime pas les positions de JLM sur le Nucléaire, les aides massives 1/2",Le Pen,Macron,LePen,NO,YES,NO,YES,NO,NO,NO,NO,NO
5735647,34,"Your studies must not be very brilliant given the little reflection you have. (and neither is spelling) I did not vote for Macron but for real and above all intelligent reasons,","vos études ne doivent pas être très brillantes vu le peu de réflexion que vous avez.   ( et l'orthographe non plus)  Moi je n'ai pas voté Macron mais pour des raisons vrais et surtout intelligentes ,",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4013126,35,"Personally, I fantasize about a second round between Melenchon and MLP. They are two old political thugs who don't really want to be elected President, and it would be enjoyable to see them make one hell of a mess after another so as not to inherit the hot potato!","Personnellement je fantasme sur un deuxième tours Melenchon  vs MLP . C'est deux vieux lascars de la politique ne souhaitant pas véritablement être élu Président, qu'il serait jouissif de les voire faire merdes sur merdes pour ne pas hériter de la patate chaude ! ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4982997,36,"A useful vote, a principled one, who cares. It's over. Too late. We should have excluded Le Pen from the second round. Now, in the end, we'll have Le Pen as president. Too many people hate Macron.","Vote utile, de principe, on s'en fout. C'est plié. Trop tard. Il fallait dégager LePen du second tour. Là au final on aura Lepen présidente  Trop de monde déteste Macron.",None,Le Pen,None,NO,NO,NO,NO,YES,NO,NO,NO,NO
1475470,37,And to think that there are people on the left who are thinking of voting for Macron!,Et dire qu'il y a des gens de gauche qui pensent voter Macron !,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
